input_feature,last_step_quantile,pred_bh_mass,pred_bh_acc,pred_stellar_mass,pred_sfr,pred_halo_mass,pred_vel_disp
bh_mass,-0.14593951404094696,0.0006218270282261074,0.001267736777663231,0.2099645435810089,3.3846864700317383,12.14841079711914,71.0578384399414
bh_mass,-0.14593951404094696,0.0006218270282261074,0.001267736777663231,0.2099645435810089,3.3846864700317383,12.14841079711914,71.0578384399414
bh_mass,-0.12001656387001276,0.0006243095267564058,0.0012688121059909463,0.2102726399898529,3.384650230407715,12.157119750976562,71.06916809082031
bh_mass,-0.11887271245941519,0.0006244191899895668,0.001268860069103539,0.2102864533662796,3.384643793106079,12.157503128051758,71.0696792602539
bh_mass,-0.11689966544508934,0.0006246081902645528,0.001268941443413496,0.21030999720096588,3.3846399784088135,12.158164978027344,71.070556640625
bh_mass,-0.11411012802273035,0.0006248762365430593,0.0012690575094893575,0.2103431224822998,3.3846449851989746,12.159122467041016,71.07176971435547
bh_mass,-0.10910765714943409,0.0006253566825762391,0.0012692668242380023,0.2104029357433319,3.384634494781494,12.160810470581055,71.07401275634766
bh_mass,-0.09405404068529613,0.000626805005595088,0.0012698930222541094,0.21058306097984314,3.3846144676208496,12.165894508361816,71.08074188232422
bh_mass,0.46059946715831707,0.000682427897118032,0.0012934108963236213,0.21755217015743256,3.3854894638061523,12.368639945983887,71.35543823242188
bh_acc,-0.11807539314031601,0.0006702088285237551,0.0011954362271353602,0.21517984569072723,3.2989063262939453,12.306716918945312,71.14598083496094
bh_acc,-0.11807539314031601,0.0006702088285237551,0.0011954362271353602,0.21517984569072723,3.2989063262939453,12.306716918945312,71.14598083496094
bh_acc,-0.11795549020171166,0.0006702175014652312,0.0011954474030062556,0.21518145501613617,3.2989184856414795,12.306774139404297,71.14608001708984
bh_acc,-0.11515822838991881,0.0006704269908368587,0.0011957024689763784,0.21521520614624023,3.299201726913452,12.30788803100586,71.14849090576172
bh_acc,-0.11287027969956398,0.000670598994474858,0.001195911900140345,0.2152428925037384,3.2994329929351807,12.308794975280762,71.15044403076172
bh_acc,-0.11083547631278634,0.000670750392600894,0.0011960986303165555,0.21526773273944855,3.2996389865875244,12.309593200683594,71.15216064453125
bh_acc,-0.10729517415165901,0.0006710165762342513,0.0011964213335886598,0.21531063318252563,3.299999713897705,12.311002731323242,71.15519714355469
bh_acc,-0.09078805623576054,0.0006722548278048635,0.0011979322880506516,0.21551096439361572,3.301676034927368,12.317549705505371,71.16944122314453
bh_acc,0.7516234964132297,0.0007383109768852592,0.001276858034543693,0.22609813511371613,3.388608694076538,12.663093566894531,71.9209976196289
stellar_mass,-0.19848572313785554,0.0006678404752165079,0.0011853777104988694,0.20804435014724731,3.226646661758423,12.035877227783203,70.987060546875
stellar_mass,-0.19176857434213163,0.0006681582890450954,0.001185901346616447,0.20813339948654175,3.2277233600616455,12.039336204528809,70.99302673339844
stellar_mass,-0.1841526098549366,0.0006685183616355062,0.0011864944826811552,0.2082342803478241,3.2289512157440186,12.043259620666504,70.99970245361328
stellar_mass,-0.17501681670546532,0.0006689511938020587,0.0011872102040797472,0.20835545659065247,3.230421304702759,12.04797649383545,71.00779724121094
stellar_mass,-0.1636297106742859,0.0006694912444800138,0.0011881005484610796,0.2085067480802536,3.232257604598999,12.053849220275879,71.01786804199219
stellar_mass,-0.14260222055017946,0.000670490087941289,0.0011897460790351033,0.2087865173816681,3.2356514930725098,12.064738273620605,71.0364761352539
stellar_mass,-0.10012435950338842,0.0006725145503878593,0.001193076721392572,0.20935404300689697,3.2425248622894287,12.086819648742676,71.07431030273438
stellar_mass,0.0354589896742254,0.0006790373008698225,0.0012037582928314805,0.21118378639221191,3.264650344848633,12.157997131347656,71.19609069824219
stellar_mass,1.178726398944854,0.000737470225431025,0.0012967835646122694,0.2276606410741806,3.4615652561187744,12.800861358642578,72.29167175292969
sfr,-0.2425844117999077,0.0006713216425850987,0.000987997162155807,0.19758997857570648,2.809757947921753,11.30062198638916,70.09103393554688
sfr,-0.2354229038581252,0.0006715630297549069,0.0009894679533317685,0.1977674812078476,2.814866304397583,11.314373016357422,70.12339782714844
sfr,-0.2258723996579647,0.0006718870135955513,0.0009914337424561381,0.1980048269033432,2.8216943740844727,11.332755088806152,70.16668701171875
sfr,-0.2158165391534567,0.0006722281104885042,0.0009935070993378758,0.19825494289398193,2.8288965225219727,11.352121353149414,70.21223449707031
sfr,-0.20251592993736267,0.000672680966090411,0.0009962558979168534,0.19858711957931519,2.83844256401062,11.377814292907715,70.27271270751953
sfr,-0.17544203624129295,0.0006736077484674752,0.001001872355118394,0.19926635921001434,2.8579485416412354,11.430288314819336,70.39584350585938
sfr,-0.09964022748172287,0.0006762334960512817,0.001017751288600266,0.20119242370128632,2.9130935668945312,11.578554153442383,70.74243927001953
sfr,0.11040350096300193,0.0006837749970145524,0.0010630324250087142,0.20672054588794708,3.0703072547912598,11.999446868896484,71.71487426757812
sfr,1.4919557332992532,0.0007451935671269894,0.0014139865525066853,0.2504650354385376,4.270877838134766,15.142105102539062,78.5031967163086
halo_mass,-0.3273517847061157,0.0006296586361713707,0.0009170969133265316,0.1815083771944046,2.5497567653656006,10.344002723693848,68.8125228881836
halo_mass,-0.2574579600244761,0.0006322808330878615,0.0009321900433860719,0.18359632790088654,2.612070322036743,10.529568672180176,69.2508544921875
halo_mass,-0.22147609516978264,0.0006336746737360954,0.0009400686249136925,0.18469296395778656,2.6445393562316895,10.626280784606934,69.47773742675781
halo_mass,-0.18795708082616336,0.0006349912146106362,0.0009474673424847424,0.18572555482387543,2.675022602081299,10.717049598693848,69.68974304199219
halo_mass,-0.14621392637491226,0.0006366571760736406,0.0009567763190716505,0.1870279461145401,2.7133448123931885,10.830945014953613,69.95471954345703
halo_mass,-0.08687459174543619,0.0006390864145942032,0.0009701831149868667,0.18891435861587524,2.7685000896453857,10.994749069213867,70.3332290649414
halo_mass,0.02544365040957925,0.0006438898271881044,0.0009960883762687445,0.1925954967737198,2.8751232624053955,11.310653686523438,71.05501556396484
halo_mass,0.2501394579187035,0.0006542808259837329,0.0010502295335754752,0.20038099586963654,3.0969972610473633,11.965171813964844,72.5191421508789
halo_mass,1.3303250968456246,0.0007195891230367124,0.001361339702270925,0.24630537629127502,4.335246562957764,15.521623611450195,79.83802032470703
vel_disp,-0.9122458428144454,0.0005781047511845827,0.0006568903918378055,0.14932022988796234,1.574785590171814,7.784886837005615,62.2277717590332
vel_disp,-0.5954199567437173,0.0005927447928115726,0.0007145148701965809,0.15859195590019226,1.861496090888977,8.722702026367188,65.11221313476562
vel_disp,-0.4170726053416729,0.0006021764711476862,0.0007497641490772367,0.16451270878314972,2.0348246097564697,9.288309097290039,66.76924896240234
vel_disp,-0.2622253965586424,0.0006112405098974705,0.0007818706799298525,0.1701708883047104,2.192901372909546,9.804583549499512,68.22589874267578
vel_disp,-0.10209117829799653,0.0006212444277480245,0.0008168271160684526,0.17643149197101593,2.3650481700897217,10.358433723449707,69.74200439453125
vel_disp,0.1171484972350301,0.0006360310362651944,0.0008677066653035581,0.18565663695335388,2.6152358055114746,11.148292541503906,71.8274154663086
vel_disp,0.39500504210591303,0.0006567248492501676,0.0009369859471917152,0.19853824377059937,2.958385944366455,12.20236587524414,74.47272491455078
vel_disp,0.894314257055521,0.0006982986233197153,0.0010790592059493065,0.22506216168403625,3.6516923904418945,14.224185943603516,79.16748809814453
vel_disp,2.384229338169097,0.0008569410420022905,0.0017159349517896771,0.3268633782863617,6.229406356811523,20.721073150634766,91.72026824951172
